uniqueId,id,productId,ean,lockId,attachments,quantity,seller,name,refId,price,listPrice,manualPrice,manualPriceAppliedBy,priceTags,imageUrl,detailUrl,components,bundleItems,params,offerings,attachmentOfferings,sellerSku,priceValidUntil,commission,tax,preSaleDate,measurementUnit,unitMultiplier,sellingPrice,isGift,shippingPrice,rewardValue,freightCommission,taxCode,parentItemIndex,parentAssemblyBinding,callCenterOperator,serialNumbers,assemblies,costPrice,orderId,data_extracao,itemAttachment_name,additionalInfo_brandName,additionalInfo_brandId,additionalInfo_categoriesIds,additionalInfo_categories,additionalInfo_productClusterId,additionalInfo_commercialConditionId,additionalInfo_dimension_cubicweight,additionalInfo_dimension_height,additionalInfo_dimension_length,additionalInfo_dimension_weight,additionalInfo_dimension_width,additionalInfo_offeringInfo,additionalInfo_offeringType,additionalInfo_offeringTypeId,priceDefinition_sellingPrices,priceDefinition_calculatedSellingPrice,priceDefinition_total,priceDefinition_reason
D86B861D89E94715BB703A432E4B661F,162576,155335,7899963915352,,[],2,Philco,Ventilador Britânia BVT301 Tecnologia Maxx Force 60W 127V,033011170,9490,19990,,,[],https://senffnet.vteximg.com.br/arquivos/ids/1465493-55-55/image-931e42f9832c412e8ef2018fb1f1c5f7.jpg?v=638325592014830000,/ventilador-britania-bvt301-tecnologia-maxx-force-60w-155335/p,[],[],[],[],[],22442,2026-01-07T02:59:00.0000000+00:00,1000,0,,un,1.0,9490,False,,0,0,,,,,,[],,1586311145616-01,2025-12-29 16:02:24,,Britânia,2000006,/60/735/,"[{'id': 735, 'name': 'Ventiladores'}, {'id': 60, 'name': 'Eletroportáteis'}]","141,247,255,269,270,283,286,289,308,336,340,358,362,374,378,380,383,385,395",1,6.7856,36.0,23.5,2015.0,38.5,,,,"[{'value': 9490, 'quantity': 2}]",9490,18980,priceTable
17051AA9C7CA41BAA6754059C09937AD,723712,716510,7898588111545,,[],1,webcontinentalmktplace,Secador de Cabelo Style Tiffany Azul 2000w 127v SECADOR CAB STYLE AZUL TIFFANY 127V 2000,10023637,24400,29300,,,[],https://senffnet.vteximg.com.br/arquivos/ids/2775607-55-55/image-423658fac82d4c56bdb5fb25f1c242f1.jpg?v=638503799972030000,/secador-de-cabelo-style-tiffany-azul-2000w-127v-716510/p,[],[],[],[],[],MKP003958000647,2030-12-25T11:23:45.0000000+00:00,1400,0,,un,1.0,24400,False,,0,1400,,,,,,[],,1586301145615-01,2025-12-29 16:02:25,,Taiff,2000768,/583/613/,"[{'id': 613, 'name': 'Cuidados com o Cabelo'}, {'id': 583, 'name': 'Cosméticos e Perfumaria'}]",289,1,1.3945,25.0,25.5,849.0,10.5,,,,"[{'value': 24400, 'quantity': 1}]",24400,24400,
089C9BD7ED3645C2BB2F82F607ED984F,678260,671051,7899963915499,,[],2,Philco,Ventilador de Parede Britânia BVT575 Maxx Force 6 Pás 176W 127V,033011177,20990,26990,,,[],https://senffnet.vteximg.com.br/arquivos/ids/2660350-55-55/image-f37900944c824f28a9d9443d98202075.jpg?v=638467756491770000,/ventilador-de-parede-britania-bvt575-maxx-force-6-pas-176w-671051/p,[],[],[],[],[],23150,2026-12-26T14:19:54.0000000+00:00,1000,0,,un,1.0,20990,False,,0,0,,,,,,[],,1586301145614-01,2025-12-29 16:02:25,,Britânia,2000006,/2/851/,"[{'id': 851, 'name': 'Ventilador de parede'}, {'id': 2, 'name': 'Eletrodomésticos'}]","289,296,308",1,14.0167,72.5,16.0,4243.0,58.0,,,,"[{'value': 20990, 'quantity': 2}]",20990,41980,
B6F2EA31F9244485908C5CF300932092,162686,155335,7899963915369,,[],1,Philco,Ventilador Britânia BVT301 Tecnologia Maxx Force 60W 220V,033012170,9490,19990,,,[],https://senffnet.vteximg.com.br/arquivos/ids/1466068-55-55/image-562a28f9ae1344869a98c04761a5eaa8.jpg?v=638325610021930000,/ventilador-britania-bvt301-tecnologia-maxx-force-60w-155335/p,[],[],[],[],[],22443,2026-01-07T02:59:00.0000000+00:00,1000,0,,un,1.0,9490,False,,0,0,,,,,,[],,1586301145613-01,2025-12-29 16:02:25,,Britânia,2000006,/60/735/,"[{'id': 735, 'name': 'Ventiladores'}, {'id': 60, 'name': 'Eletroportáteis'}]","141,247,255,269,270,283,286,289,308,336,340,358,362,374,378,380,383,385,395",1,6.7856,36.0,23.5,2015.0,38.5,,,,"[{'value': 9490, 'quantity': 1}]",9490,9490,priceTable
911ACE8650004F6898D511BC128F5E0E,162576,155335,7899963915352,,[],1,Philco,Ventilador Britânia BVT301 Tecnologia Maxx Force 60W 127V,033011170,9490,19990,,,[],https://senffnet.vteximg.com.br/arquivos/ids/1465493-55-55/image-931e42f9832c412e8ef2018fb1f1c5f7.jpg?v=638325592014830000,/ventilador-britania-bvt301-tecnologia-maxx-force-60w-155335/p,[],[],[],[],[],22442,2026-01-07T02:59:00.0000000+00:00,1000,0,,un,1.0,9490,False,,0,0,,,,,,[],,1586301145609-01,2025-12-29 16:02:26,,Britânia,2000006,/60/735/,"[{'id': 735, 'name': 'Ventiladores'}, {'id': 60, 'name': 'Eletroportáteis'}]","141,247,255,269,270,283,286,289,308,336,340,358,362,374,378,380,383,385,395",1,6.7856,36.0,23.5,2015.0,38.5,,,,"[{'value': 9490, 'quantity': 1}]",9490,9490,priceTable
3794303B72D342288164DBB258881FD3,1817297,1810218,7898700211153,,[],1,webcontinentalmktplace,"Climatizador De Ar Oster Portátil 4 Em 1 5,3L 110V",MKP006164000403,46900,64990,,,[],https://senffnet.vteximg.com.br/arquivos/ids/6837705-55-55/image-9d93316b473b48debcf8fcee6c9a4d13.jpg?v=638917952234170000,/climatizador-de-ar-oster-portatil-4-em-1-53l-110v-1810218/p,[],[],[],[],[],MKP006164000403,2030-12-25T11:10:56.0000000+00:00,1400,0,,un,1.0,46900,False,,0,1400,,,,,,[],,1586301145608-01,2025-12-29 16:02:26,,Oster,2000010,/60/784/,"[{'id': 784, 'name': 'Circulador de ar'}, {'id': 60, 'name': 'Eletroportáteis'}]","283,286,289,308,395",1,14.152,76.8,29.0,6.86,30.5,,,,"[{'value': 46900, 'quantity': 1}]",46900,46900,
F15AD39B2EDC4F11AAAE44290AFB5358,2052009,2044934,7899882316728,,[],2,loyalt,Ventilador de coluna 40cm mondial super power vsp40c 6 pás 3 velocidades preto/prata,RCK-5ecbcb397a378556,19490,28340,,,[],https://senffnet.vteximg.com.br/arquivos/ids/7882653-55-55/image-634b0d0b775040eab76573ba7db04850.jpg?v=639020063113700000,/ventilador-de-coluna-40cm-mondial-super-power-vsp40c-6-pas-3-velocidades-preto-prata-2044934/p,[],[],[],[],[],RCK-5ecbcb397a378556,2030-12-25T11:07:16.0000000+00:00,1150,0,,un,1.0,19490,False,,0,0,,,,,,[],,1586301145607-01,2025-12-29 16:02:26,,Mondial,2000003,/2/726/,"[{'id': 726, 'name': 'Ar-condicionado'}, {'id': 2, 'name': 'Eletrodomésticos'}]","255,286,289,308,395",1,13.7813,27.0,49.0,6000.0,50.0,,,,"[{'value': 19490, 'quantity': 2}]",19490,38980,
33B14C18F78644F7BD67ABC7DC353345,2051981,2044905,7899882317923,,[],1,loyalt,Ventilador de mesa mondial maxis v30mxw 30cm 6 pás 3 velocidades 50w branco / azul,RCK-1ae4222d881c946a,9490,11990,,,[],https://senffnet.vteximg.com.br/arquivos/ids/8148630-55-55/image-94dd77e14d214bf3a3cc46b366f6aa35.jpg?v=638991547299700000,/ventilador-de-mesa-mondial-maxis-v30mxw-30cm-6-pas-3-velocidades-50w-branco---azul-2044905/p,[],[],[],[],[],RCK-1ae4222d881c946a,2030-12-25T11:02:59.0000000+00:00,1150,0,,un,1.0,9490,False,,0,0,,,,,,[],,1586301145604-01,2025-12-29 16:02:26,,Mondial,2000003,/2/726/,"[{'id': 726, 'name': 'Ar-condicionado'}, {'id': 2, 'name': 'Eletrodomésticos'}]","255,286,289,308,395",1,6.105,22.0,36.0,1800.0,37.0,,,,"[{'value': 9490, 'quantity': 1}]",9490,9490,
5FA014F35C434866A30AA7E1D714E6CB,77137,69862,7896020651055,,[],1,minipreco,Escada Alumínio 7 Degraus Mor,005105,26990,26990,,,[],https://senffnet.vteximg.com.br/arquivos/ids/556633-55-55/image-1f2a365d988f45909246878aa4322b8a.jpg?v=638043099220900000,/escada-aluminio-7-degraus-mor-69862/p,[],[],[],[],[],12298,2026-12-26T13:54:39.0000000+00:00,1300,0,,un,1.0,26990,False,,0,0,,,,,,[],,1586301145601-01,2025-12-29 16:02:26,,MOR,2000497,/553/846/1011/,"[{'id': 1011, 'name': 'Escadas'}, {'id': 846, 'name': 'Ferramentas Manuais'}, {'id': 553, 'name': 'Materiais de Construção'}]",311,1,214.375,200.0,105.0,5.0,49.0,,,,"[{'value': 26990, 'quantity': 1}]",26990,26990,
1C4E68EAF4124DAFBF028430627D3EFF,2052009,2044934,7899882316728,,[],1,loyalt,Ventilador de coluna 40cm mondial super power vsp40c 6 pás 3 velocidades preto/prata,RCK-5ecbcb397a378556,19490,28340,,,[],https://senffnet.vteximg.com.br/arquivos/ids/7882653-55-55/image-634b0d0b775040eab76573ba7db04850.jpg?v=639020063113700000,/ventilador-de-coluna-40cm-mondial-super-power-vsp40c-6-pas-3-velocidades-preto-prata-2044934/p,[],[],[],[],[],RCK-5ecbcb397a378556,2030-12-25T10:58:37.0000000+00:00,1150,0,,un,1.0,19490,False,,0,0,,,,,,[],,1586301145600-01,2025-12-29 16:02:27,,Mondial,2000003,/2/726/,"[{'id': 726, 'name': 'Ar-condicionado'}, {'id': 2, 'name': 'Eletrodomésticos'}]","255,286,289,308,395",1,13.7813,27.0,49.0,6000.0,50.0,,,,"[{'value': 19490, 'quantity': 1}]",19490,19490,
00A5D3B66969447EB2BFDCA95CEBC3C4,1261682,1254527,7908259504252,,[],1,webcontinentalmktplace,Escova Rotativa Black Rose - Mondial - Erb-01 Escova Rotativa Erb-01 Bivolt .,MKP002478000895,19990,19990,,,[],https://senffnet.vteximg.com.br/arquivos/ids/4412100-55-55/image-cc15a8ea24774c799117c68a31897a43.jpg?v=638744484780630000,/escova-rotativa-black-rose---mondial---erb-01-escova-rotativa-erb-01-bivolt---1254527/p,[],[],[],[],[],MKP002478000895,2030-12-25T10:54:47.0000000+00:00,1400,0,,un,1.0,19990,False,,0,1400,,,,,,[],,1586301145599-01,2025-12-29 16:02:27,,Mondial,2000003,/583/613/736/,"[{'id': 736, 'name': 'Escova Secadora'}, {'id': 613, 'name': 'Cuidados com o Cabelo'}, {'id': 583, 'name': 'Cosméticos e Perfumaria'}]","289,338",1,0.618,7.2,10.0,0.594,41.2,,,,"[{'value': 19990, 'quantity': 1}]",19990,19990,
157D8524A419487FB5F77D67B400F390,50840,43662,7908156901123,,[],1,multilojaonline,Cooktop 5 Bocas Mueller Tripla Chama Preto Bivolt,1310.3.4,65990,89990,,,[],https://senffnet.vteximg.com.br/arquivos/ids/353375-55-55/image-b0f5d8cd3871412cafb57969c69e8dbb.jpg?v=637926271639530000,/cooktop-5-bocas-mueller-tripla-chama-43662/p,[],[],[],"[{'type': 'Garantia 12 meses', 'id': '315', 'name': 'Garantia 12 meses', 'price': 9051}, {'type': 'Garantia 24 meses', 'id': '316', 'name': 'Garantia 24 meses', 'price': 13124}]",[],507,2026-01-01T03:00:00.0000000+00:00,1200,0,,un,1.0,65990,False,,0,0,,,,,,[],,1586301145596-01,2025-12-29 16:02:27,,Mueller,2000016,/2/45/66/,"[{'id': 66, 'name': 'Cooktops'}, {'id': 45, 'name': 'Fogões e Cooktops'}, {'id': 2, 'name': 'Eletrodomésticos'}]","289,294,296,308",1,12.2031,16.5,71.0,11500.0,50.0,,,,"[{'value': 65990, 'quantity': 1}]",65990,65990,priceTable
C3633A5C71994FA4A07933825D20151F,1869734,1862657,7898700211177,,[],1,webcontinentalmktplace,"Climatizador De Ar Cadence Ventilar Duo Tank 5,7L 110V",MKP006162000296,35990,43490,,,[],https://senffnet.vteximg.com.br/arquivos/ids/7086243-55-55/image-a467ca320d424ab983344f74eb259cc9.jpg?v=638926220829900000,/climatizador-de-ar-cadence-ventilar-duo-tank-57l-110v-1862657/p,[],[],[],[],[],MKP006162000296,2030-12-25T10:51:45.0000000+00:00,1400,0,,un,1.0,35990,False,,0,1400,,,,,,[],,1586301145592-01,2025-12-29 16:02:27,,Cadence,2000002,/60/784/,"[{'id': 784, 'name': 'Circulador de ar'}, {'id': 60, 'name': 'Eletroportáteis'}]","283,286,289,308",1,11.9109,63.0,27.5,5.8,33.0,,,,"[{'value': 35990, 'quantity': 1}]",35990,35990,
